Basho;Nishikijima;Sanoyama;;;;;;
1889.05;;;;;;;;
1890.01;;;;;;;;
1890.05;;;;;;;;
1891.01;;;;;;;;
1891.05;;;;;;;;
1892.01;;;;;;;;
1892.06;;;;;;;;
1893.01;;;;;;;;
1893.05;;;;;;;;
1894.01;;;;;;;;
1894.05;;;;;;;;
1895.01;;;;;;;;
1895.06;;;;;;;;
1896.01;;;;;;;;
1896.05;;;;;;;;
1897.01;;;;;;;;
1897.05;;;;;;;;
1898.01;;;;;;;;
1898.05;;;;;;;;
1899.01;;;;;;;;
1899.05;;;;;;;;
1900.01;;;;;;;;
1900.05;;;;;;;;
1901.01;;;;;;;;
1901.05;;;;;;;;
1902.01;;;;;;;;
1902.05;;;;;;;;
1903.01;;;;;;;;
1903.05;;;;;;;;
1904.01;;;;;;;;
1904.05;;;;;;;;
1905.01;;;;;;;;
1905.05;;;;;;;;
1906.01;;;;;;;;
1906.05;;;;;;;;
1907.01;1-1-M1 Orochigata--59-;;;;;;;
1907.05;0-0-M1 Orochigata--59-;;;;;;;
1908.01;0-0-M1 Orochigata--59-;;;;;;;
1908.05;0-0-M1 Orochigata--59-;;;;;;;
1909.01;0-0-M1 Orochigata--59-;;;;;;;
1909.06;1-1-M1 Orochigata--59-;;;;;;;
1910.01;1-1-M1 Orochigata--59-;;;;;;;
1910.06;1-1-M1 Orochigata--59-;;;;;;;
1911.02;1-1-M1 Orochigata--59-;;;;;;;
1911.06;1-1-M1 Orochigata--59-;;;;;;;
1912.01;1-1-M1 Orochigata--59-;;;;;;;
1912.05;1-1-M1 Orochigata--59-;;;;;;;
1913.01;1-1-M1 Orochigata--59-;;;;;;;
1913.05;1-1-M1 Orochigata--59-;;;;;;;
1914.01;1-1-M1 Orochigata--59-;;;;;;;
1914.05;1-1-M1 Orochigata--59-;;;;;;;
1915.01;1-1-M1 Orochigata--59-;;;;;;;
1915.06;1-1-M1 Orochigata--59-;;;;;;;
1916.01;2-1-M1 Orochigata--59-;;;;;;;
1916.05;2-1-M1 Orochigata--59-;;;;;;;
1917.01;2-1-M1 Orochigata--59-;;;;;;;
1917.05;2-1-S Orochigata-HT-59-;;;;;;;
1918.01;2-1-S Orochigata--59-;;;;;;;
1918.05;3-1-S Orochigata--59-;;;;;;;
1919.01;2-1-S Orochigata--59-;;;;;;;
1919.05;3-2-S Orochigata--59-;;;;;;;
1920.01;2-2-S Orochigata--59-;;;;;;;
1920.05;2-2-S Orochigata--59-;;;;;;;
1921.01;2-2-S Orochigata--59-;;;;;;;
1921.05;2-2-S Orochigata--59-;;;;;;;
1922.01;3-2-S Orochigata--59-;;;;;;;
1922.05;2-2-S Orochigata--59-;;;;;;;
1923.01;3-2-S Orochigata--59-;;;;;;;
1923.05;2-2-S Orochigata--59-;;;;;;;
