Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso,Isegahama,Hatachiyama,Oshiogawa,Takekuma,Kabutoyama,Wakamatsu,Tatsutagawa,Kise,Kumagatani,Onaruto,Kasugayama,Oyama,Hanakago,Takashima,Magaki,Nakagawa,Tanigawa,Minatogawa,Onogawa,Oitekaze
1917.05,,,,,,,,,1-0-Y Onishiki--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918.01,,,,,,,,,1-0-OS Futasegawa-HT-4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924.01,,,,,,,,,2-1-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925.01,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926.01,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927.01,,,,,,,,,5-3-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927.03,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927.05,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927.10,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.03,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.05,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.10,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,,,,,,1-0-K Izumigawa-HB-102-,,,,,,,,,,,,,,
1929.03,,,,,,,,,4-2-OS Futasegawa--4-,,,,,,,,,,,,,,,,,-----,,,,,,,,,,,,,,
1929.05,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,,,,,,,-----,,,,,,,,,,,,,,
1929.09,,,,,,,,,3-3-OS Futasegawa--4-,,,,,,,,,,,,,,,,,-----,,,,,,,,,,,,,,
1930.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa-HB-24-,,,,,-----,,,,,,,,,,,,,,
1930.03,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1930.05,,,,,,,,,4-2-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1930.10,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1931.01,,,,,,,,,2-2-OS Futasegawa--4-,,,,,,,,,,,,4-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1931.03,,,,,,,,,2-2-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1931.05,,,,,,,,,3-1-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1931.10,,,,,,,,,3-1-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1932.01,,,,,,,,,2-1-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1932.02,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,,2-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1932.03,,,,,,,,,3-0-OS Futasegawa--4-,,,,,,,,,,,,3-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1932.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,,3-3-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1932.10,,,,,,,,,3-0-OS Futasegawa--4-,,,,,,,,,,,,3-3-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1933.01,,,,,,,,,2-1-OS Futasegawa--4-,,,,,,,,,,,,3-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1933.05,,,,,,,,,3-1-OS Futasegawa--4-,,,,,,,,,,,,3-3-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1934.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,4-3-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1934.05,,,,,,,,,8-2-OS Futasegawa--4-,,,,6-3-Y Tamanishiki-HB-60-,,,,,,,,5-2-S Kiyosegawa--24-,,,,,1-0-K Izumigawa--102-,,,,,,,,,,,,,,
1935.01,,,,,,,,,8-1-OS Futasegawa--4-,,,,7-3-Y Tamanishiki--60-,,,,,,,,7-3-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1935.05,,,,,,,,,9-1-OS Futasegawa--4-,,,,7-3-Y Tamanishiki--60-,,,,,,,,8-3-S Kiyosegawa--24-,,,,,1-0-K Izumigawa--102-,,,,,,,,,,,,,,
