Basho,All,All Japanese,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi,Awa,Chikuzen,Dewa,Echigo,Edo,Esshu,Etchu,Harima,Hizen,Hoki,Iburi,Ishikari,Izu,Kaga,Kawachi,Kyushu,Musashi,Mutsu,Nanbu,Odawara,Osaka (old),Oshu,Owari,Rikuchu,Sachalin,Sagami,Sattsu,Sendai,Sesshu,Shimousa,Shinano,Shiribe,Tosa,Ugo,All Foreigners,Argentina,Brazil,Bulgaria,Canada,China,Czech,Egypt,Estonia,Georgia,Great Britain,Hong Kong,Hungary,Indonesia,Kazakhstan,Korea,Mongolia,Paraguay,Philippines,Russia,Sri Lanka,Taiwan,Tonga,U.S.A.,Ukraine,Western Samoa
1757.10,36-36-,36-36-201,,5-5-2,1-1-3,1-1-4,,,3-3-7,,,,,,1-1-13,,,1-1-16,,,1-1-19,,1-1-21,1-1-22,,1-1-24,,,,,,,,,,1-1-34,,,,,,,,,,,1-1-45,,,,,,,3-3-97,,,,,,,,,,,,,,,,,4-4-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758.03,38-38-,38-38-201,,5-5-2,1-1-3,1-1-4,,,2-2-7,,,,,,0-0-13,,,1-1-16,,,1-1-19,,3-3-21,1-1-22,,1-1-24,,,,,,,,,,0-0-34,,,,,,,,,,,1-1-45,,,,,,,3-3-97,,,,,,,,,,,2-2-98,,,,,1-1-99,1-1-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758.10,38-38-,38-38-201,,7-7-2,1-1-3,1-1-4,,,5-5-7,,,,,,1-1-13,,,0-0-16,,,1-1-19,,2-2-21,0-0-22,,2-2-24,,,,,,,,,,1-1-34,,,,,,,,,,,1-1-45,,,,,,,2-2-97,,,,,,,,,,,1-1-98,,,,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759.03,45-35-,45-0-201,,5-0-2,0-0-3,1-0-4,,,5-0-7,,,,,,0-0-13,,,1-0-16,,,1-0-19,,2-0-21,0-0-22,,1-0-24,,,,,1-0-29,,,,,1-0-34,,,,,,,,,,,1-0-45,,,,,,,3-0-97,1-0-100,,,,,,,,,,3-0-98,,,,,0-0-99,2-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762.03,32-29-,32-0-201,,3-0-2,0-0-3,1-0-4,,,5-0-7,,,,,,0-0-13,,,1-0-16,,,1-0-19,,4-0-21,0-0-22,,1-0-24,,,,,1-0-29,,,,,1-0-34,,,,,,,,,,,1-0-45,,,,,,,4-0-97,0-0-100,,,,,,,,,,0-0-98,,,,,0-0-99,1-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763.10,34-34-,34-34-201,,2-2-2,0-0-3,1-1-4,,,2-2-7,,,1-1-10,,,0-0-13,,,1-1-16,,,1-1-19,,2-2-21,0-0-22,,2-2-24,,,,,1-1-29,,,,1-1-33,1-1-34,,,,,,,,,,,1-1-45,,,,,,,4-4-97,1-1-100,,,,,,,,,,1-1-98,,,,,0-0-99,3-3-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764.03,31-31-,31-31-201,,2-2-2,0-0-3,1-1-4,,,2-2-7,,,1-1-10,,,0-0-13,,,1-1-16,,,1-1-19,,2-2-21,0-0-22,,3-3-24,,,,,1-1-29,,,,1-1-33,1-1-34,,,,,,,,,,,1-1-45,,,,,,,3-3-97,,,,,,,,,,,1-1-98,,,,,1-1-99,2-2-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764.10,35-35-,35-35-201,,4-4-2,0-0-3,1-1-4,,,3-3-7,,,1-1-10,,,0-0-13,,,1-1-16,,,1-1-19,,2-2-21,0-0-22,,3-3-24,,,,,1-1-29,,,,2-2-33,1-1-34,,,,,,,,,,,1-1-45,,,,,,,4-4-97,,,,,,,,,,,2-2-98,,,,,0-0-99,1-1-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765.03,33-33-,33-33-201,,3-3-2,0-0-3,1-1-4,,,2-2-7,,,1-1-10,,,0-0-13,,,1-1-16,,2-2-18,1-1-19,,3-3-21,0-0-22,,0-0-24,,,,,1-1-29,,,,1-1-33,1-1-34,,,,,,,,,,,1-1-45,,,,,,,2-2-97,,,,,,,,,,,3-3-98,,,,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765.10,32-32-,32-32-201,,4-4-2,0-0-3,2-2-4,,,1-1-7,,,1-1-10,,,0-0-13,,,1-1-16,,2-2-18,1-1-19,,1-1-21,0-0-22,,2-2-24,,,,,1-1-29,,,,1-1-33,1-1-34,,,,,,,,,,,1-1-45,,,,,,,4-4-97,,,,,,,,,,,3-3-98,,,,,0-0-99,1-1-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766.03,36-36-,36-36-201,,4-4-2,0-0-3,2-2-4,,,2-2-7,,,1-1-10,,,0-0-13,,,1-1-16,,1-1-18,1-1-19,,1-1-21,0-0-22,,2-2-24,,,,,1-1-29,,,,2-2-33,1-1-34,1-1-35,,,,,,,,,,1-1-45,,,,,,,4-4-97,,,,,,,,,,,3-3-98,,,,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766.10,31-31-,31-31-201,,4-4-2,0-0-3,2-2-4,,,2-2-7,,,1-1-10,,,0-0-13,,,1-1-16,,4-4-18,1-1-19,,1-1-21,0-0-22,,0-0-24,,,,,1-1-29,,,,2-2-33,1-1-34,0-0-35,,,,,,,,,,1-1-45,,,,,,,4-4-97,,,,,,,,,,,0-0-98,,,,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767.03,32-32-,32-32-201,,2-2-2,0-0-3,1-1-4,,,2-2-7,,,0-0-10,,,0-0-13,,,2-2-16,,3-3-18,1-1-19,,1-1-21,0-0-22,,2-2-24,,,,,1-1-29,,,,1-1-33,1-1-34,0-0-35,,,,,,,,,,1-1-45,,,,,,,4-4-97,,,,,,,,,,,0-0-98,,,3-3-102,,0-0-99,2-2-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767.10,33-33-,33-33-201,,4-4-2,0-0-3,2-2-4,,,2-2-7,,,1-1-10,,,0-0-13,,,1-1-16,,2-2-18,2-2-19,,1-1-21,0-0-22,,2-2-24,,,1-1-27,,1-1-29,,,,1-1-33,1-1-34,1-1-35,,,,,,,,,,1-1-45,,,,,,,4-4-97,,,,,,,,,,,3-3-98,,,0-0-102,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768.09,27-27-,27-27-201,,4-4-2,0-0-3,1-1-4,,,1-1-7,,,1-1-10,,,0-0-13,,,1-1-16,,0-0-18,2-2-19,,1-1-21,0-0-22,,2-2-24,,,0-0-27,,1-1-29,,,,0-0-33,1-1-34,0-0-35,,,,,,,,,,1-1-45,,,,,,,3-3-97,,,,,,,,,,,3-3-98,,,0-0-102,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768.11,30-30-,30-30-201,,2-2-2,0-0-3,1-1-4,,,0-0-7,,,1-1-10,,,0-0-13,,,1-1-16,,1-1-18,1-1-19,,1-1-21,0-0-22,,0-0-24,,,0-0-27,,1-1-29,,,,0-0-33,1-1-34,0-0-35,,,,,,,,,,1-1-45,,,,,,,3-3-97,,,,,,,,,,,2-2-98,,,0-0-102,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769.04,32-32-,32-32-201,,3-3-2,0-0-3,1-1-4,,,1-1-7,,,1-1-10,,,0-0-13,,,2-2-16,,2-2-18,1-1-19,,1-1-21,0-0-22,,3-3-24,,,0-0-27,,1-1-29,,,,1-1-33,1-1-34,1-1-35,,,,,,,,,,1-1-45,,,,,,,4-4-97,,,,,,,,,,,2-2-98,,,3-3-102,,0-0-99,0-0-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769.10,27-27-,27-27-201,,2-2-2,0-0-3,1-1-4,,,2-2-7,,,1-1-10,,,0-0-13,,,1-1-16,,1-1-18,2-2-19,,1-1-21,0-0-22,,1-1-24,,,0-0-27,,1-1-29,,,,1-1-33,1-1-34,1-1-35,,,,,,,,,,1-1-45,,,,,,,2-2-97,,,,,,,,,,,5-5-98,,,0-0-102,,0-0-99,2-2-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770.03,26-26-,26-26-201,,1-1-2,0-0-3,1-1-4,,,0-0-7,,,1-1-10,,,0-0-13,,,1-1-16,,1-1-18,2-2-19,,1-1-21,0-0-22,,1-1-24,,,0-0-27,,0-0-29,,,,0-0-33,0-0-34,1-1-35,,,,,,,,,,1-1-45,,,,,,,3-3-97,,,,,,,,,,,2-2-98,,,0-0-102,,0-0-99,1-1-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
